id_actividad,nombre,tipo,nivel_dificultad,duracion,ubicacion
71,It,Cascada,Medio,7,Belén de los Andaquíes
72,Lotlux,Cascada,Medio,2,Belén de los Andaquíes
73,Voyatouch,Cascada,Bajo,7,Belén de los Andaquíes
74,Veribet,TurismoExtremo,Bajo,8,El Doncello
75,Aerified,CaminataEcologica,Alto,2,Morelia
76,Konklux,CaminataEcologica,Alto,5,El Doncello
77,Solarbreeze,TurismoExtremo,Alto,7,Morelia
78,Ventosanzap,TurismoExtremo,Medio,8,Morelia
79,Flexidy,Cascada,Bajo,1,Belén de los Andaquíes
80,Ventosanzap,TurismoExtremo,Medio,1,Belén de los Andaquíes
81,Fix San,Cascada,Bajo,3,Belén de los Andaquíes
82,Alpha,TurismoExtremo,Bajo,2,El Doncello
83,Prodder,Cascada,Medio,5,Morelia
84,Konklux,CaminataEcologica,Bajo,4,Morelia
85,Zamit,TurismoExtremo,Medio,7,Morelia
86,Duobam,TurismoExtremo,Medio,3,El Doncello
87,Toughjoyfax,CaminataEcologica,Bajo,7,Florencia
88,Quo Lux,CaminataEcologica,Alto,7,El Doncello
89,Span,Cascada,Medio,7,El Doncello
90,Viva,Cascada,Medio,7,El Doncello
91,Tampflex,CaminataEcologica,Medio,3,Florencia
92,Vagram,CaminataEcologica,Medio,4,El Doncello
93,Hatity,TurismoExtremo,Bajo,8,Florencia
94,Bigtax,TurismoExtremo,Alto,2,El Doncello
95,Tres-Zap,TurismoExtremo,Bajo,2,Belén de los Andaquíes
96,Viva,CaminataEcologica,Medio,7,Florencia
97,Overhold,Cascada,Bajo,6,Belén de los Andaquíes
98,Ventosanzap,Cascada,Medio,4,El Doncello
99,Bytecard,CaminataEcologica,Medio,1,Belén de los Andaquíes
100,Zathin,TurismoExtremo,Medio,6,Florencia
101,Job,Cascada,Medio,6,Belén de los Andaquíes
102,Keylex,TurismoExtremo,Alto,5,Morelia
103,Bamity,TurismoExtremo,Alto,2,Florencia
104,Fintone,TurismoExtremo,Medio,8,El Doncello
105,Zathin,TurismoExtremo,Alto,2,El Doncello
106,Hatity,CaminataEcologica,Bajo,5,El Doncello
107,Biodex,CaminataEcologica,Bajo,2,El Doncello
108,Home Ing,CaminataEcologica,Alto,5,Florencia
109,Stringtough,CaminataEcologica,Alto,3,Morelia
110,Namfix,Cascada,Bajo,3,El Doncello
111,Sonair,CaminataEcologica,Bajo,3,Belén de los Andaquíes
112,Mat Lam Tam,Cascada,Alto,6,Belén de los Andaquíes
113,Pannier,Cascada,Alto,4,El Doncello
114,Voltsillam,CaminataEcologica,Medio,7,Florencia
115,Alpha,CaminataEcologica,Alto,3,Florencia
116,Otcom,Cascada,Alto,7,Florencia
117,Vagram,CaminataEcologica,Bajo,7,Florencia
118,Y-find,TurismoExtremo,Bajo,7,El Doncello
119,It,TurismoExtremo,Medio,6,Belén de los Andaquíes
120,Konklab,CaminataEcologica,Alto,3,Morelia
121,Prodder,CaminataEcologica,Bajo,2,El Doncello
122,Span,Cascada,Medio,4,Florencia
123,Alphazap,CaminataEcologica,Bajo,3,El Doncello
124,Stringtough,TurismoExtremo,Medio,8,El Doncello
125,Cardify,TurismoExtremo,Medio,5,Belén de los Andaquíes
126,Tempsoft,Cascada,Medio,3,El Doncello
127,Y-find,Cascada,Alto,1,Belén de los Andaquíes
128,Transcof,CaminataEcologica,Medio,4,Florencia
129,Temp,TurismoExtremo,Bajo,5,Belén de los Andaquíes
130,Subin,Cascada,Alto,6,Florencia
131,Zathin,Cascada,Medio,4,El Doncello
132,Voltsillam,Cascada,Bajo,6,Belén de los Andaquíes
133,Lotstring,CaminataEcologica,Medio,3,Florencia
134,Ronstring,TurismoExtremo,Alto,7,Belén de los Andaquíes
135,Tresom,CaminataEcologica,Bajo,3,Florencia
136,Holdlamis,CaminataEcologica,Alto,4,Belén de los Andaquíes
137,Flowdesk,TurismoExtremo,Alto,4,Belén de los Andaquíes
138,Lotlux,CaminataEcologica,Alto,3,El Doncello
139,Duobam,TurismoExtremo,Medio,8,Morelia
140,Temp,TurismoExtremo,Bajo,1,El Doncello
141,Mat Lam Tam,Cascada,Alto,3,Morelia
142,Keylex,TurismoExtremo,Alto,3,Florencia
143,It,TurismoExtremo,Alto,6,El Doncello
144,Vagram,CaminataEcologica,Medio,7,Morelia
145,Prodder,TurismoExtremo,Bajo,3,El Doncello
146,Latlux,Cascada,Medio,6,El Doncello
147,Flowdesk,TurismoExtremo,Medio,8,El Doncello
148,Zathin,Cascada,Bajo,4,Belén de los Andaquíes
149,Keylex,CaminataEcologica,Medio,1,Belén de los Andaquíes
150,Opela,TurismoExtremo,Bajo,3,Belén de los Andaquíes
151,Cardguard,TurismoExtremo,Alto,5,Morelia
152,Flowdesk,Cascada,Alto,2,El Doncello
153,Konklab,Cascada,Medio,3,El Doncello
154,Veribet,CaminataEcologica,Medio,4,El Doncello
155,Zaam-Dox,CaminataEcologica,Alto,1,El Doncello
156,Bamity,CaminataEcologica,Medio,2,Florencia
157,Aerified,TurismoExtremo,Alto,6,Florencia
158,Toughjoyfax,CaminataEcologica,Bajo,5,Belén de los Andaquíes
159,Ventosanzap,CaminataEcologica,Alto,4,El Doncello
160,Cookley,TurismoExtremo,Medio,1,Florencia
161,Biodex,TurismoExtremo,Alto,8,El Doncello
162,Stronghold,CaminataEcologica,Alto,2,Morelia
163,Asoka,Cascada,Alto,5,Morelia
164,Ronstring,CaminataEcologica,Medio,8,El Doncello
165,Veribet,CaminataEcologica,Medio,5,Morelia
166,Regrant,CaminataEcologica,Alto,1,El Doncello
167,Tempsoft,TurismoExtremo,Bajo,4,Belén de los Andaquíes
168,Regrant,TurismoExtremo,Medio,2,Florencia
169,Overhold,TurismoExtremo,Alto,8,Belén de los Andaquíes
170,Sub-Ex,Cascada,Alto,2,Florencia
171,Namfix,TurismoExtremo,Bajo,8,El Doncello
172,Zathin,TurismoExtremo,Bajo,6,El Doncello
173,Sonair,Cascada,Alto,1,Belén de los Andaquíes
174,Fintone,Cascada,Medio,6,Morelia
175,Y-find,Cascada,Medio,4,Florencia
176,Bigtax,Cascada,Bajo,4,Morelia
177,Tin,TurismoExtremo,Alto,4,Morelia
178,Bitwolf,TurismoExtremo,Medio,5,Morelia
179,Flexidy,CaminataEcologica,Bajo,1,Belén de los Andaquíes
180,Regrant,Cascada,Medio,1,Belén de los Andaquíes
181,Andalax,TurismoExtremo,Bajo,1,Morelia
182,Ventosanzap,CaminataEcologica,Alto,4,Morelia
183,Tempsoft,CaminataEcologica,Alto,8,Belén de los Andaquíes
184,Konklab,TurismoExtremo,Alto,7,Belén de los Andaquíes
185,Bytecard,Cascada,Medio,5,Florencia
186,Wrapsafe,CaminataEcologica,Alto,7,Florencia
187,Stringtough,Cascada,Medio,6,Morelia
188,Tres-Zap,TurismoExtremo,Medio,3,Morelia
189,Flowdesk,CaminataEcologica,Bajo,1,El Doncello
190,Asoka,CaminataEcologica,Medio,8,Florencia
191,Stim,TurismoExtremo,Medio,5,Morelia
192,Duobam,TurismoExtremo,Medio,2,El Doncello
193,Wrapsafe,TurismoExtremo,Bajo,4,Belén de los Andaquíes
194,Overhold,CaminataEcologica,Medio,3,Belén de los Andaquíes
195,Fixflex,TurismoExtremo,Alto,3,Morelia
196,Cardguard,CaminataEcologica,Medio,4,Florencia
197,Mat Lam Tam,TurismoExtremo,Medio,5,El Doncello
198,Stronghold,Cascada,Bajo,3,Florencia
199,Regrant,TurismoExtremo,Medio,2,Morelia
200,Tampflex,CaminataEcologica,Bajo,8,Belén de los Andaquíes
201,Fix San,CaminataEcologica,Alto,3,Florencia
202,Lotlux,CaminataEcologica,Medio,4,Florencia
203,It,CaminataEcologica,Bajo,2,Morelia
204,It,TurismoExtremo,Bajo,2,Morelia
205,Namfix,CaminataEcologica,Alto,2,Florencia
206,Tresom,TurismoExtremo,Alto,2,El Doncello
207,Cardguard,CaminataEcologica,Bajo,5,Belén de los Andaquíes
208,Span,CaminataEcologica,Alto,3,El Doncello
209,Gembucket,CaminataEcologica,Alto,5,El Doncello
210,Duobam,CaminataEcologica,Alto,4,Belén de los Andaquíes
211,Zathin,TurismoExtremo,Bajo,6,El Doncello
212,Cardguard,CaminataEcologica,Medio,3,Morelia
213,Temp,TurismoExtremo,Bajo,2,Florencia
214,Bigtax,CaminataEcologica,Medio,1,Belén de los Andaquíes
215,Fix San,CaminataEcologica,Alto,7,Florencia
216,Flexidy,Cascada,Bajo,6,Morelia
217,Transcof,Cascada,Alto,6,Morelia
218,Fixflex,TurismoExtremo,Alto,2,Florencia
219,Zontrax,TurismoExtremo,Bajo,7,Morelia
220,Mat Lam Tam,TurismoExtremo,Bajo,8,Morelia
221,Andalax,Cascada,Alto,6,Belén de los Andaquíes
222,Namfix,TurismoExtremo,Medio,8,Belén de los Andaquíes
223,Viva,TurismoExtremo,Medio,4,Florencia
224,Overhold,TurismoExtremo,Medio,1,Florencia
225,Tresom,CaminataEcologica,Medio,1,Morelia
226,Namfix,TurismoExtremo,Medio,7,Morelia
227,Quo Lux,CaminataEcologica,Alto,5,Florencia
228,Matsoft,TurismoExtremo,Medio,3,Morelia
229,Toughjoyfax,CaminataEcologica,Alto,2,El Doncello
230,Zathin,Cascada,Bajo,2,El Doncello
231,Viva,Cascada,Medio,8,El Doncello
232,Konklab,CaminataEcologica,Bajo,4,Belén de los Andaquíes
233,Opela,TurismoExtremo,Medio,8,Morelia
234,Asoka,Cascada,Medio,2,El Doncello
235,Duobam,Cascada,Alto,8,Florencia
236,Prodder,TurismoExtremo,Bajo,4,Florencia
237,Stringtough,TurismoExtremo,Medio,4,Belén de los Andaquíes
238,Treeflex,CaminataEcologica,Alto,6,Belén de los Andaquíes
239,Sub-Ex,CaminataEcologica,Bajo,1,Belén de los Andaquíes
240,Trippledex,TurismoExtremo,Bajo,4,Belén de los Andaquíes
241,Tampflex,TurismoExtremo,Bajo,4,El Doncello
242,It,Cascada,Alto,4,Morelia
243,Duobam,CaminataEcologica,Bajo,4,Morelia
244,Fixflex,Cascada,Alto,7,Morelia
245,Bigtax,CaminataEcologica,Medio,4,El Doncello
246,Gembucket,TurismoExtremo,Medio,5,El Doncello
247,Voltsillam,TurismoExtremo,Bajo,8,Belén de los Andaquíes
248,It,TurismoExtremo,Alto,2,El Doncello
249,Flowdesk,Cascada,Alto,1,El Doncello
250,Y-find,TurismoExtremo,Bajo,4,Morelia
251,Lotlux,Cascada,Alto,4,El Doncello
252,Solarbreeze,CaminataEcologica,Medio,5,El Doncello
253,Y-find,Cascada,Bajo,3,El Doncello
254,Alphazap,CaminataEcologica,Alto,5,Morelia
255,Flexidy,Cascada,Alto,3,Florencia
256,Zaam-Dox,Cascada,Alto,8,Florencia
257,Keylex,Cascada,Alto,3,El Doncello
258,Tresom,CaminataEcologica,Medio,5,El Doncello
259,Job,CaminataEcologica,Alto,6,Belén de los Andaquíes
260,Y-find,Cascada,Bajo,3,Morelia
261,Aerified,CaminataEcologica,Medio,5,Belén de los Andaquíes
262,Opela,CaminataEcologica,Medio,2,Florencia
263,Span,Cascada,Bajo,8,Florencia
264,Sub-Ex,Cascada,Bajo,5,El Doncello
265,Voltsillam,CaminataEcologica,Alto,6,El Doncello
266,Sub-Ex,Cascada,Bajo,1,Belén de los Andaquíes
267,Span,Cascada,Medio,6,Florencia
268,Subin,Cascada,Bajo,7,Belén de los Andaquíes
269,Tin,CaminataEcologica,Medio,1,Morelia
270,Daltfresh,TurismoExtremo,Medio,6,El Doncello
271,Cardify,CaminataEcologica,Medio,6,El Doncello
272,Trippledex,TurismoExtremo,Bajo,5,Florencia
273,Home Ing,TurismoExtremo,Alto,8,El Doncello
274,Voltsillam,TurismoExtremo,Medio,5,Belén de los Andaquíes
275,Asoka,TurismoExtremo,Alto,4,Morelia
276,Span,TurismoExtremo,Alto,7,El Doncello
277,Pannier,TurismoExtremo,Medio,7,Florencia
278,Zaam-Dox,Cascada,Bajo,7,Belén de los Andaquíes
279,Bytecard,TurismoExtremo,Medio,5,El Doncello
280,Voyatouch,Cascada,Medio,2,Morelia
281,Otcom,TurismoExtremo,Bajo,2,El Doncello
282,Zaam-Dox,CaminataEcologica,Bajo,4,El Doncello
283,Subin,CaminataEcologica,Alto,5,Belén de los Andaquíes
284,Lotstring,TurismoExtremo,Bajo,4,Belén de los Andaquíes
285,Kanlam,TurismoExtremo,Alto,7,Belén de los Andaquíes
286,Lotstring,TurismoExtremo,Medio,3,Morelia
287,Solarbreeze,CaminataEcologica,Alto,4,Belén de los Andaquíes
288,Tresom,CaminataEcologica,Medio,8,El Doncello
289,Holdlamis,TurismoExtremo,Medio,2,Florencia
290,Y-Solowarm,CaminataEcologica,Bajo,4,Florencia
291,Duobam,Cascada,Medio,6,El Doncello
292,Bigtax,TurismoExtremo,Alto,7,Belén de los Andaquíes
293,Ronstring,CaminataEcologica,Alto,3,Morelia
294,Zamit,TurismoExtremo,Bajo,6,Morelia
295,Domainer,Cascada,Alto,2,Belén de los Andaquíes
296,Zoolab,TurismoExtremo,Medio,1,Morelia
297,Fixflex,CaminataEcologica,Bajo,7,Morelia
298,Tin,TurismoExtremo,Medio,4,Belén de los Andaquíes
299,Sub-Ex,TurismoExtremo,Medio,3,Florencia
300,Sonair,CaminataEcologica,Bajo,4,Morelia
301,Subin,TurismoExtremo,Bajo,2,Morelia
302,Stronghold,CaminataEcologica,Bajo,4,Morelia
303,Asoka,TurismoExtremo,Bajo,3,Florencia
304,Regrant,CaminataEcologica,Alto,3,Morelia
305,Stringtough,CaminataEcologica,Alto,1,Belén de los Andaquíes
306,Tresom,CaminataEcologica,Bajo,2,Morelia
307,Span,CaminataEcologica,Alto,6,Morelia
308,Bytecard,CaminataEcologica,Medio,4,Belén de los Andaquíes
309,Subin,TurismoExtremo,Medio,3,Belén de los Andaquíes
310,Sub-Ex,TurismoExtremo,Bajo,7,Morelia
311,Vagram,TurismoExtremo,Bajo,8,Morelia
312,Transcof,TurismoExtremo,Bajo,8,El Doncello
313,Wrapsafe,CaminataEcologica,Alto,2,Belén de los Andaquíes
314,Rank,Cascada,Medio,6,Belén de los Andaquíes
315,Ventosanzap,CaminataEcologica,Bajo,1,El Doncello
316,Otcom,TurismoExtremo,Bajo,4,Morelia
317,Andalax,TurismoExtremo,Medio,7,Belén de los Andaquíes
318,Solarbreeze,CaminataEcologica,Alto,1,Morelia
319,Duobam,Cascada,Bajo,5,El Doncello
320,Prodder,Cascada,Medio,2,Morelia
321,Matsoft,CaminataEcologica,Bajo,6,Morelia
322,Viva,TurismoExtremo,Medio,7,El Doncello
323,Kanlam,CaminataEcologica,Alto,1,Morelia
324,Mat Lam Tam,CaminataEcologica,Medio,4,Belén de los Andaquíes
325,Wrapsafe,CaminataEcologica,Bajo,1,Florencia
326,Latlux,CaminataEcologica,Alto,2,El Doncello
327,Redhold,Cascada,Alto,4,Belén de los Andaquíes
328,Lotlux,Cascada,Bajo,2,Belén de los Andaquíes
329,Hatity,CaminataEcologica,Medio,5,Florencia
330,Pannier,TurismoExtremo,Alto,1,Florencia
331,Temp,CaminataEcologica,Alto,7,Belén de los Andaquíes
332,Fix San,Cascada,Alto,3,El Doncello
333,Zamit,CaminataEcologica,Bajo,5,Belén de los Andaquíes
334,Tampflex,TurismoExtremo,Alto,4,Morelia
335,Y-find,CaminataEcologica,Alto,5,Morelia
336,Bitchip,TurismoExtremo,Bajo,8,Belén de los Andaquíes
337,Temp,CaminataEcologica,Bajo,4,Belén de los Andaquíes
338,Viva,TurismoExtremo,Medio,2,Morelia
339,Sub-Ex,Cascada,Medio,7,Belén de los Andaquíes
340,Pannier,TurismoExtremo,Alto,7,Morelia
341,Solarbreeze,Cascada,Alto,6,El Doncello
342,Andalax,TurismoExtremo,Alto,7,El Doncello
343,Cardify,Cascada,Bajo,1,El Doncello
344,Temp,TurismoExtremo,Bajo,8,Florencia
345,Subin,CaminataEcologica,Medio,8,Belén de los Andaquíes
346,Zathin,TurismoExtremo,Alto,3,El Doncello
347,Rank,Cascada,Bajo,4,Morelia
348,Sub-Ex,Cascada,Alto,6,El Doncello
349,Zaam-Dox,CaminataEcologica,Bajo,7,Belén de los Andaquíes
350,Stim,TurismoExtremo,Medio,3,El Doncello
351,Viva,CaminataEcologica,Medio,1,Florencia
352,Veribet,TurismoExtremo,Medio,6,Morelia
353,Trippledex,CaminataEcologica,Alto,5,Belén de los Andaquíes
354,Sonsing,CaminataEcologica,Bajo,8,Morelia
355,Tempsoft,TurismoExtremo,Bajo,1,Florencia
356,Sonair,Cascada,Alto,5,Morelia
357,Zontrax,Cascada,Medio,4,Morelia
358,Lotstring,Cascada,Medio,1,Belén de los Andaquíes
359,Temp,Cascada,Bajo,3,Belén de los Andaquíes
360,Treeflex,TurismoExtremo,Medio,4,Belén de los Andaquíes
361,Ventosanzap,TurismoExtremo,Bajo,5,Belén de los Andaquíes
362,Voyatouch,Cascada,Bajo,7,El Doncello
363,Mat Lam Tam,Cascada,Medio,3,Belén de los Andaquíes
364,Home Ing,CaminataEcologica,Alto,1,Belén de los Andaquíes
365,Sub-Ex,Cascada,Alto,1,El Doncello
366,Kanlam,CaminataEcologica,Bajo,6,Belén de los Andaquíes
367,Fintone,CaminataEcologica,Medio,5,Belén de los Andaquíes
368,Alphazap,Cascada,Bajo,7,Florencia
369,Hatity,CaminataEcologica,Bajo,6,Florencia
370,Zamit,CaminataEcologica,Medio,6,Florencia
371,Sub-Ex,CaminataEcologica,Medio,1,Florencia
372,Solarbreeze,Cascada,Medio,2,Florencia
373,Tresom,CaminataEcologica,Medio,8,Morelia
374,Biodex,CaminataEcologica,Bajo,4,Belén de los Andaquíes
375,Lotlux,Cascada,Bajo,4,Florencia
376,Vagram,CaminataEcologica,Medio,1,Florencia
377,Mat Lam Tam,Cascada,Bajo,6,El Doncello
378,Temp,CaminataEcologica,Alto,6,Morelia
379,Bigtax,Cascada,Alto,8,Florencia
380,Prodder,Cascada,Bajo,2,El Doncello
381,Tresom,Cascada,Alto,3,El Doncello
382,Aerified,Cascada,Medio,6,El Doncello
383,Toughjoyfax,Cascada,Medio,4,Morelia
384,Overhold,Cascada,Medio,7,Belén de los Andaquíes
385,Otcom,Cascada,Alto,6,El Doncello
386,Alphazap,TurismoExtremo,Medio,4,Florencia
387,Wrapsafe,CaminataEcologica,Medio,5,El Doncello
388,Fix San,CaminataEcologica,Medio,3,El Doncello
389,Regrant,TurismoExtremo,Bajo,3,Morelia
390,Voltsillam,TurismoExtremo,Bajo,3,El Doncello
391,Tin,Cascada,Bajo,8,Morelia
392,Ventosanzap,CaminataEcologica,Alto,2,Florencia
393,Home Ing,Cascada,Bajo,5,El Doncello
394,Kanlam,TurismoExtremo,Alto,4,Florencia
395,Konklux,CaminataEcologica,Bajo,3,Morelia
396,Cardify,TurismoExtremo,Alto,6,El Doncello
397,Bamity,Cascada,Medio,6,Morelia
398,Zontrax,TurismoExtremo,Medio,8,Belén de los Andaquíes
399,Lotlux,TurismoExtremo,Medio,6,Morelia
400,Alpha,CaminataEcologica,Alto,3,Belén de los Andaquíes
401,Voltsillam,Cascada,Medio,2,El Doncello
402,Zathin,Cascada,Bajo,6,Florencia
403,Fix San,Cascada,Alto,5,Florencia
404,Flexidy,CaminataEcologica,Bajo,2,Morelia
405,Sonsing,TurismoExtremo,Alto,4,Florencia
406,Flowdesk,TurismoExtremo,Bajo,4,Morelia
407,Vagram,TurismoExtremo,Medio,3,El Doncello
408,Tres-Zap,CaminataEcologica,Bajo,7,Belén de los Andaquíes
409,Zaam-Dox,Cascada,Medio,3,Florencia
410,Ronstring,TurismoExtremo,Bajo,4,El Doncello
411,Andalax,TurismoExtremo,Medio,3,Belén de los Andaquíes
412,Pannier,CaminataEcologica,Bajo,2,Morelia
413,Ventosanzap,TurismoExtremo,Medio,4,El Doncello
414,Flowdesk,CaminataEcologica,Medio,1,El Doncello
415,Zontrax,Cascada,Bajo,3,Morelia
416,Zathin,CaminataEcologica,Medio,2,Florencia
417,Zontrax,CaminataEcologica,Bajo,8,Florencia
418,Cardguard,Cascada,Alto,2,Belén de los Andaquíes
419,Greenlam,CaminataEcologica,Bajo,3,Belén de los Andaquíes
420,Redhold,Cascada,Alto,7,Morelia
421,Voyatouch,Cascada,Alto,3,Florencia
422,Trippledex,TurismoExtremo,Alto,2,Florencia
423,Konklab,TurismoExtremo,Medio,7,Belén de los Andaquíes
424,Fix San,CaminataEcologica,Bajo,7,Morelia
425,Kanlam,TurismoExtremo,Alto,7,Florencia
426,Tampflex,CaminataEcologica,Medio,6,Morelia
427,Ronstring,TurismoExtremo,Alto,7,El Doncello
428,Namfix,Cascada,Alto,8,Florencia
429,Pannier,TurismoExtremo,Medio,4,Florencia
430,Fix San,Cascada,Alto,2,El Doncello
431,Viva,Cascada,Alto,1,Morelia
432,Toughjoyfax,TurismoExtremo,Bajo,3,Florencia
433,Fixflex,CaminataEcologica,Alto,4,El Doncello
434,Regrant,Cascada,Bajo,8,Belén de los Andaquíes
435,Wrapsafe,CaminataEcologica,Alto,3,Belén de los Andaquíes
436,Voyatouch,Cascada,Medio,7,Belén de los Andaquíes
437,Stringtough,TurismoExtremo,Alto,8,El Doncello
438,Lotlux,TurismoExtremo,Alto,8,El Doncello
439,Domainer,CaminataEcologica,Bajo,3,Belén de los Andaquíes
440,Zaam-Dox,TurismoExtremo,Alto,4,Florencia
441,Gembucket,CaminataEcologica,Medio,6,Morelia
442,Fintone,CaminataEcologica,Alto,3,El Doncello
443,Y-Solowarm,CaminataEcologica,Medio,1,Florencia
444,Fintone,CaminataEcologica,Medio,6,Morelia
445,Biodex,Cascada,Alto,7,Belén de los Andaquíes
446,Voyatouch,Cascada,Bajo,2,Belén de los Andaquíes
447,Matsoft,TurismoExtremo,Medio,7,Florencia
448,Ventosanzap,TurismoExtremo,Medio,6,El Doncello
449,Aerified,Cascada,Alto,3,Belén de los Andaquíes
450,Daltfresh,TurismoExtremo,Alto,3,Florencia
451,Ronstring,TurismoExtremo,Bajo,4,Florencia
452,Wrapsafe,CaminataEcologica,Bajo,3,Florencia
453,Voltsillam,Cascada,Bajo,8,Morelia
454,Viva,Cascada,Bajo,6,Belén de los Andaquíes
455,Otcom,CaminataEcologica,Bajo,1,Morelia
456,Home Ing,TurismoExtremo,Alto,7,Florencia
457,Viva,CaminataEcologica,Bajo,4,Belén de los Andaquíes
458,Tres-Zap,CaminataEcologica,Medio,5,El Doncello
459,Transcof,CaminataEcologica,Alto,7,Belén de los Andaquíes
460,Biodex,Cascada,Bajo,5,El Doncello
461,Zamit,CaminataEcologica,Medio,5,Morelia
462,Vagram,TurismoExtremo,Bajo,4,Florencia
463,Zoolab,TurismoExtremo,Alto,7,Belén de los Andaquíes
464,Aerified,Cascada,Alto,1,El Doncello
465,Bitwolf,TurismoExtremo,Medio,1,El Doncello
466,Opela,TurismoExtremo,Alto,6,Morelia
467,Wrapsafe,Cascada,Medio,1,Belén de los Andaquíes
468,Zathin,TurismoExtremo,Medio,2,El Doncello
469,Sonsing,CaminataEcologica,Alto,8,El Doncello
470,Bitwolf,CaminataEcologica,Bajo,7,El Doncello
471,Biodex,CaminataEcologica,Alto,1,Morelia
472,Home Ing,CaminataEcologica,Bajo,3,Belén de los Andaquíes
473,Keylex,CaminataEcologica,Medio,6,Florencia
474,Bigtax,TurismoExtremo,Bajo,4,Belén de los Andaquíes
475,Stronghold,CaminataEcologica,Bajo,1,Florencia
476,Transcof,TurismoExtremo,Bajo,5,El Doncello
477,Matsoft,Cascada,Medio,8,Florencia
478,Cookley,TurismoExtremo,Bajo,7,Florencia
479,Otcom,Cascada,Bajo,2,El Doncello
480,Tres-Zap,Cascada,Medio,2,Belén de los Andaquíes
